seriesid,date,statefips,countyfips,state,county,labforce,employed,unemployed,urate
CN0100100000000,2022-04-01,01,001,AL,Autauga County,26615,26152,463,1.7
CN0100300000000,2022-04-01,01,003,AL,Baldwin County,102295,100416,1879,1.8
CN0100500000000,2022-04-01,01,005,AL,Barbour County,8280,8032,248,3
CN0100700000000,2022-04-01,01,007,AL,Bibb County,8692,8529,163,1.9
CN0100900000000,2022-04-01,01,009,AL,Blount County,25625,25181,444,1.7
CN0101100000000,2022-04-01,01,011,AL,Bullock County,4405,4306,99,2.2
CN0101300000000,2022-04-01,01,013,AL,Butler County,8653,8411,242,2.8
CN0101500000000,2022-04-01,01,015,AL,Calhoun County,46214,45057,1157,2.5
CN0101700000000,2022-04-01,01,017,AL,Chambers County,15893,15582,311,2
CN0101900000000,2022-04-01,01,019,AL,Cherokee County,11702,11494,208,1.8
CN0102100000000,2022-04-01,01,021,AL,Chilton County,20110,19742,368,1.8
CN0102300000000,2022-04-01,01,023,AL,Choctaw County,4329,4196,133,3.1
CN0102500000000,2022-04-01,01,025,AL,Clarke County,7653,7374,279,3.6
CN0102700000000,2022-04-01,01,027,AL,Clay County,6060,5955,105,1.7
CN0102900000000,2022-04-01,01,029,AL,Cleburne County,6059,5946,113,1.9
CN0103100000000,2022-04-01,01,031,AL,Coffee County,21498,21085,413,1.9
CN0103300000000,2022-04-01,01,033,AL,Colbert County,23827,23268,559,2.3
CN0103500000000,2022-04-01,01,035,AL,Conecuh County,4212,4096,116,2.8
CN0103700000000,2022-04-01,01,037,AL,Coosa County,4413,4329,84,1.9
CN0103900000000,2022-04-01,01,039,AL,Covington County,15063,14764,299,2
CN0104100000000,2022-04-01,01,041,AL,Crenshaw County,5820,5701,119,2
CN0104300000000,2022-04-01,01,043,AL,Cullman County,39738,39095,643,1.6
CN0104500000000,2022-04-01,01,045,AL,Dale County,20977,20548,429,2
CN0104700000000,2022-04-01,01,047,AL,Dallas County,13658,13119,539,3.9
CN0104900000000,2022-04-01,01,049,AL,DeKalb County,30860,30291,569,1.8
CN0105100000000,2022-04-01,01,051,AL,Elmore County,38064,37437,627,1.6
CN0105300000000,2022-04-01,01,053,AL,Escambia County,14092,13766,326,2.3
CN0105500000000,2022-04-01,01,055,AL,Etowah County,39386,38420,966,2.5
CN0105700000000,2022-04-01,01,057,AL,Fayette County,6727,6575,152,2.3
CN0105900000000,2022-04-01,01,059,AL,Franklin County,14515,14264,251,1.7
CN0106100000000,2022-04-01,01,061,AL,Geneva County,11012,10806,206,1.9
CN0106300000000,2022-04-01,01,063,AL,Greene County,2741,2646,95,3.5
CN0106500000000,2022-04-01,01,065,AL,Hale County,5762,5584,178,3.1
CN0106700000000,2022-04-01,01,067,AL,Henry County,6970,6820,150,2.2
CN0106900000000,2022-04-01,01,069,AL,Houston County,47800,46833,967,2
CN0107100000000,2022-04-01,01,071,AL,Jackson County,23089,22639,450,1.9
CN0107300000000,2022-04-01,01,073,AL,Jefferson County,323563,316896,6667,2.1
CN0107500000000,2022-04-01,01,075,AL,Lamar County,5696,5576,120,2.1
CN0107700000000,2022-04-01,01,077,AL,Lauderdale County,42928,42055,873,2
CN0107900000000,2022-04-01,01,079,AL,Lawrence County,14604,14318,286,2
CN0108100000000,2022-04-01,01,081,AL,Lee County,79161,77759,1402,1.8
CN0108300000000,2022-04-01,01,083,AL,Limestone County,48165,47387,778,1.6
CN0108500000000,2022-04-01,01,085,AL,Lowndes County,3429,3295,134,3.9
CN0108700000000,2022-04-01,01,087,AL,Macon County,7847,7606,241,3.1
CN0108900000000,2022-04-01,01,089,AL,Madison County,199124,195886,3238,1.6
CN0109100000000,2022-04-01,01,091,AL,Marengo County,7557,7362,195,2.6
CN0109300000000,2022-04-01,01,093,AL,Marion County,13931,13680,251,1.8
CN0109500000000,2022-04-01,01,095,AL,Marshall County,45346,44635,711,1.6
CN0109700000000,2022-04-01,01,097,AL,Mobile County,191248,186266,4982,2.6
CN0109900000000,2022-04-01,01,099,AL,Monroe County,7388,7150,238,3.2
CN0110100000000,2022-04-01,01,101,AL,Montgomery County,106669,104060,2609,2.4
CN0110300000000,2022-04-01,01,103,AL,Morgan County,60592,59593,999,1.6
CN0110500000000,2022-04-01,01,105,AL,Perry County,2987,2870,117,3.9
CN0110700000000,2022-04-01,01,107,AL,Pickens County,7553,7363,190,2.5
CN0110900000000,2022-04-01,01,109,AL,Pike County,16031,15697,334,2.1
CN0111100000000,2022-04-01,01,111,AL,Randolph County,9616,9438,178,1.9
CN0111300000000,2022-04-01,01,113,AL,Russell County,23559,23088,471,2
CN0111500000000,2022-04-01,01,115,AL,St. Clair County,42187,41466,721,1.7
CN0111700000000,2022-04-01,01,117,AL,Shelby County,121545,119838,1707,1.4
CN0111900000000,2022-04-01,01,119,AL,Sumter County,4538,4421,117,2.6
CN0112100000000,2022-04-01,01,121,AL,Talladega County,35980,35083,897,2.5
CN0112300000000,2022-04-01,01,123,AL,Tallapoosa County,17737,17332,405,2.3
CN0112500000000,2022-04-01,01,125,AL,Tuscaloosa County,103290,101271,2019,2
CN0112700000000,2022-04-01,01,127,AL,Walker County,25504,24954,550,2.2
CN0112900000000,2022-04-01,01,129,AL,Washington County,6474,6281,193,3
CN0113100000000,2022-04-01,01,131,AL,Wilcox County,2449,2297,152,6.2
CN0113300000000,2022-04-01,01,133,AL,Winston County,10221,10031,190,1.9
CN0201300000000,2022-04-01,02,013,AK,Aleutians East Borough,2334,2297,37,1.6
CN0201600000000,2022-04-01,02,016,AK,Aleutians West Census Area,3497,3397,100,2.9
CN0202000000000,2022-04-01,02,020,AK,Anchorage Borough/municipality,149945,144618,5327,3.6
CN0205000000000,2022-04-01,02,050,AK,Bethel Census Area,6492,5863,629,9.7
CN0206000000000,2022-04-01,02,060,AK,Bristol Bay Borough,387,372,15,3.9
CN0206300000000,2022-04-01,02,063,AK,Chugach Census Area,3180,3084,96,3
CN0206600000000,2022-04-01,02,066,AK,Copper River Census Area,1331,1198,133,10
CN0206800000000,2022-04-01,02,068,AK,Denali Borough,725,661,64,8.8
CN0207000000000,2022-04-01,02,070,AK,Dillingham Census Area,1593,1500,93,5.8
CN0209000000000,2022-04-01,02,090,AK,Fairbanks North Star Borough,44941,43172,1769,3.9
CN0210000000000,2022-04-01,02,100,AK,Haines Borough,988,923,65,6.6
CN0210500000000,2022-04-01,02,105,AK,Hoonah-Angoon Census Area,1199,1133,66,5.5
CN0211000000000,2022-04-01,02,110,AK,Juneau Borough/city,17230,16750,480,2.8
CN0212200000000,2022-04-01,02,122,AK,Kenai Peninsula Borough,27332,26030,1302,4.8
CN0213000000000,2022-04-01,02,130,AK,Ketchikan Gateway Borough,6427,6158,269,4.2
CN0215000000000,2022-04-01,02,150,AK,Kodiak Island Borough,5755,5535,220,3.8
CN0215800000000,2022-04-01,02,158,AK,Kusilvak Census Area,2293,1996,297,13
CN0216400000000,2022-04-01,02,164,AK,Lake and Peninsula Borough,568,530,38,6.7
CN0217000000000,2022-04-01,02,170,AK,Matanuska-Susitna Borough,49512,47095,2417,4.9
CN0218000000000,2022-04-01,02,180,AK,Nome Census Area,4172,3852,320,7.7
CN0218500000000,2022-04-01,02,185,AK,North Slope Borough,2967,2816,151,5.1
CN0218800000000,2022-04-01,02,188,AK,Northwest Arctic Borough,2729,2465,264,9.7
CN0219500000000,2022-04-01,02,195,AK,Petersburg Borough,1377,1285,92,6.7
CN0219800000000,2022-04-01,02,198,AK,Prince of Wales-Hyder Census Area,2679,2531,148,5.5
CN0222000000000,2022-04-01,02,220,AK,Sitka Borough/city,4397,4277,120,2.7
CN0223000000000,2022-04-01,02,230,AK,Skagway Municipality,681,639,42,6.2
CN0224000000000,2022-04-01,02,240,AK,Southeast Fairbanks Census Area,3232,3042,190,5.9
CN0227500000000,2022-04-01,02,275,AK,Wrangell Borough/city,862,817,45,5.2
CN0228200000000,2022-04-01,02,282,AK,Yakutat Borough/city,302,288,14,4.6
CN0229000000000,2022-04-01,02,290,AK,Yukon-Koyukuk Census Area,2408,2187,221,9.2
CN0400100000000,2022-04-01,04,001,AZ,Apache County,18058,16782,1276,7.1
CN0400300000000,2022-04-01,04,003,AZ,Cochise County,48553,46574,1979,4.1
CN0400500000000,2022-04-01,04,005,AZ,Coconino County,73426,70524,2902,4
CN0400700000000,2022-04-01,04,007,AZ,Gila County,20128,19332,796,4
CN0400900000000,2022-04-01,04,009,AZ,Graham County,16123,15603,520,3.2
CN0401100000000,2022-04-01,04,011,AZ,Greenlee County,4616,4484,132,2.9
CN0401200000000,2022-04-01,04,012,AZ,La Paz County,8300,7898,402,4.8
CN0401300000000,2022-04-01,04,013,AZ,Maricopa County,2365837,2292226,73611,3.1
CN0401500000000,2022-04-01,04,015,AZ,Mohave County,88927,85084,3843,4.3
CN0401700000000,2022-04-01,04,017,AZ,Navajo County,38695,36855,1840,4.8
CN0401900000000,2022-04-01,04,019,AZ,Pima County,487748,470446,17302,3.5
CN0402100000000,2022-04-01,04,021,AZ,Pinal County,196169,189131,7038,3.6
CN0402300000000,2022-04-01,04,023,AZ,Santa Cruz County,18766,17651,1115,5.9
CN0402500000000,2022-04-01,04,025,AZ,Yavapai County,106750,103292,3458,3.2
CN0402700000000,2022-04-01,04,027,AZ,Yuma County,93299,82837,10462,11.2
CN0500100000000,2022-04-01,05,001,AR,Arkansas County,9150,8855,295,3.2
CN0500300000000,2022-04-01,05,003,AR,Ashley County,6750,6441,309,4.6
CN0500500000000,2022-04-01,05,005,AR,Baxter County,16614,16108,506,3
CN0500700000000,2022-04-01,05,007,AR,Benton County,150383,147202,3181,2.1
CN0500900000000,2022-04-01,05,009,AR,Boone County,15977,15597,380,2.4
CN0501100000000,2022-04-01,05,011,AR,Bradley County,4179,4005,174,4.2
CN0501300000000,2022-04-01,05,013,AR,Calhoun County,2394,2330,64,2.7
CN0501500000000,2022-04-01,05,015,AR,Carroll County,12577,12257,320,2.5
CN0501700000000,2022-04-01,05,017,AR,Chicot County,3058,2874,184,6
CN0501900000000,2022-04-01,05,019,AR,Clark County,8620,8310,310,3.6
CN0502100000000,2022-04-01,05,021,AR,Clay County,5574,5385,189,3.4
CN0502300000000,2022-04-01,05,023,AR,Cleburne County,8960,8620,340,3.8
CN0502500000000,2022-04-01,05,025,AR,Cleveland County,3111,3000,111,3.6
CN0502700000000,2022-04-01,05,027,AR,Columbia County,8948,8610,338,3.8
CN0502900000000,2022-04-01,05,029,AR,Conway County,8443,8168,275,3.3
CN0503100000000,2022-04-01,05,031,AR,Craighead County,57353,55978,1375,2.4
CN0503300000000,2022-04-01,05,033,AR,Crawford County,26296,25524,772,2.9
CN0503500000000,2022-04-01,05,035,AR,Crittenden County,20532,19855,677,3.3
CN0503700000000,2022-04-01,05,037,AR,Cross County,7105,6888,217,3.1
CN0503900000000,2022-04-01,05,039,AR,Dallas County,2727,2633,94,3.4
CN0504100000000,2022-04-01,05,041,AR,Desha County,5048,4809,239,4.7
CN0504300000000,2022-04-01,05,043,AR,Drew County,7400,7110,290,3.9
CN0504500000000,2022-04-01,05,045,AR,Faulkner County,62992,61354,1638,2.6
CN0504700000000,2022-04-01,05,047,AR,Franklin County,7478,7252,226,3
CN0504900000000,2022-04-01,05,049,AR,Fulton County,5014,4872,142,2.8
CN0505100000000,2022-04-01,05,051,AR,Garland County,42400,40987,1413,3.3
CN0505300000000,2022-04-01,05,053,AR,Grant County,8469,8237,232,2.7
CN0505500000000,2022-04-01,05,055,AR,Greene County,19752,19214,538,2.7
CN0505700000000,2022-04-01,05,057,AR,Hempstead County,9375,9116,259,2.8
CN0505900000000,2022-04-01,05,059,AR,Hot Spring County,13840,13427,413,3
CN0506100000000,2022-04-01,05,061,AR,Howard County,5504,5357,147,2.7
CN0506300000000,2022-04-01,05,063,AR,Independence County,16574,16092,482,2.9
CN0506500000000,2022-04-01,05,065,AR,Izard County,4536,4339,197,4.3
CN0506700000000,2022-04-01,05,067,AR,Jackson County,5568,5337,231,4.1
CN0506900000000,2022-04-01,05,069,AR,Jefferson County,25582,24339,1243,4.9
CN0507100000000,2022-04-01,05,071,AR,Johnson County,10193,9846,347,3.4
CN0507300000000,2022-04-01,05,073,AR,Lafayette County,2388,2297,91,3.8
CN0507500000000,2022-04-01,05,075,AR,Lawrence County,6981,6765,216,3.1
CN0507700000000,2022-04-01,05,077,AR,Lee County,2630,2531,99,3.8
CN0507900000000,2022-04-01,05,079,AR,Lincoln County,3734,3582,152,4.1
CN0508100000000,2022-04-01,05,081,AR,Little River County,5208,5019,189,3.6
CN0508300000000,2022-04-01,05,083,AR,Logan County,8371,8086,285,3.4
CN0508500000000,2022-04-01,05,085,AR,Lonoke County,34291,33439,852,2.5
CN0508700000000,2022-04-01,05,087,AR,Madison County,7822,7650,172,2.2
CN0508900000000,2022-04-01,05,089,AR,Marion County,6326,6124,202,3.2
CN0509100000000,2022-04-01,05,091,AR,Miller County,18748,18085,663,3.5
CN0509300000000,2022-04-01,05,093,AR,Mississippi County,16269,15546,723,4.4
CN0509500000000,2022-04-01,05,095,AR,Monroe County,2567,2466,101,3.9
CN0509700000000,2022-04-01,05,097,AR,Montgomery County,2950,2829,121,4.1
CN0509900000000,2022-04-01,05,099,AR,Nevada County,3437,3318,119,3.5
CN0510100000000,2022-04-01,05,101,AR,Newton County,3239,3155,84,2.6
CN0510300000000,2022-04-01,05,103,AR,Ouachita County,9685,9334,351,3.6
CN0510500000000,2022-04-01,05,105,AR,Perry County,4232,4092,140,3.3
CN0510700000000,2022-04-01,05,107,AR,Phillips County,5745,5451,294,5.1
CN0510900000000,2022-04-01,05,109,AR,Pike County,4197,4052,145,3.5
CN0511100000000,2022-04-01,05,111,AR,Poinsett County,10012,9713,299,3
CN0511300000000,2022-04-01,05,113,AR,Polk County,7925,7668,257,3.2
CN0511500000000,2022-04-01,05,115,AR,Pope County,27612,26751,861,3.1
CN0511700000000,2022-04-01,05,117,AR,Prairie County,3554,3465,89,2.5
CN0511900000000,2022-04-01,05,119,AR,Pulaski County,189034,183035,5999,3.2
CN0512100000000,2022-04-01,05,121,AR,Randolph County,7314,7104,210,2.9
CN0512300000000,2022-04-01,05,123,AR,St. Francis County,7722,7405,317,4.1
CN0512500000000,2022-04-01,05,125,AR,Saline County,59844,58381,1463,2.4
CN0512700000000,2022-04-01,05,127,AR,Scott County,4229,4125,104,2.5
CN0512900000000,2022-04-01,05,129,AR,Searcy County,2885,2781,104,3.6
CN0513100000000,2022-04-01,05,131,AR,Sebastian County,55157,53611,1546,2.8
CN0513300000000,2022-04-01,05,133,AR,Sevier County,5413,5219,194,3.6
CN0513500000000,2022-04-01,05,135,AR,Sharp County,5841,5634,207,3.5
CN0513700000000,2022-04-01,05,137,AR,Stone County,4658,4498,160,3.4
CN0513900000000,2022-04-01,05,139,AR,Union County,14838,14210,628,4.2
CN0514100000000,2022-04-01,05,141,AR,Van Buren County,5933,5723,210,3.5
CN0514300000000,2022-04-01,05,143,AR,Washington County,132946,130147,2799,2.1
CN0514500000000,2022-04-01,05,145,AR,White County,34461,33362,1099,3.2
CN0514700000000,2022-04-01,05,147,AR,Woodruff County,2843,2756,87,3.1
CN0514900000000,2022-04-01,05,149,AR,Yell County,8001,7739,262,3.3
CN0600100000000,2022-04-01,06,001,CA,Alameda County,816117,791361,24756,3
CN0600300000000,2022-04-01,06,003,CA,Alpine County,563,538,25,4.4
CN0600500000000,2022-04-01,06,005,CA,Amador County,14210,13627,583,4.1
CN0600700000000,2022-04-01,06,007,CA,Butte County,91795,88013,3782,4.1
CN0600900000000,2022-04-01,06,009,CA,Calaveras County,22108,21362,746,3.4
CN0601100000000,2022-04-01,06,011,CA,Colusa County,9945,8702,1243,12.5
CN0601300000000,2022-04-01,06,013,CA,Contra Costa County,544812,527091,17721,3.3
CN0601500000000,2022-04-01,06,015,CA,Del Norte County,9189,8734,455,5
CN0601700000000,2022-04-01,06,017,CA,El Dorado County,92439,89544,2895,3.1
CN0601900000000,2022-04-01,06,019,CA,Fresno County,448993,420105,28888,6.4
CN0602100000000,2022-04-01,06,021,CA,Glenn County,12733,12093,640,5
CN0602300000000,2022-04-01,06,023,CA,Humboldt County,59228,57015,2213,3.7
CN0602500000000,2022-04-01,06,025,CA,Imperial County,66462,58629,7833,11.8
CN0602700000000,2022-04-01,06,027,CA,Inyo County,8063,7771,292,3.6
CN0602900000000,2022-04-01,06,029,CA,Kern County,386358,359399,26959,7
CN0603100000000,2022-04-01,06,031,CA,Kings County,55653,51735,3918,7
CN0603300000000,2022-04-01,06,033,CA,Lake County,28291,26979,1312,4.6
CN0603500000000,2022-04-01,06,035,CA,Lassen County,8684,8324,360,4.1
CN0603700000000,2022-04-01,06,037,CA,Los Angeles County,5000847,4761695,239152,4.8
CN0603900000000,2022-04-01,06,039,CA,Madera County,62277,58488,3789,6.1
CN0604100000000,2022-04-01,06,041,CA,Marin County,130177,127018,3159,2.4
CN0604300000000,2022-04-01,06,043,CA,Mariposa County,7021,6714,307,4.4
CN0604500000000,2022-04-01,06,045,CA,Mendocino County,36674,35209,1465,4
CN0604700000000,2022-04-01,06,047,CA,Merced County,113794,104664,9130,8
CN0604900000000,2022-04-01,06,049,CA,Modoc County,3175,3004,171,5.4
CN0605100000000,2022-04-01,06,051,CA,Mono County,9058,8788,270,3
CN0605300000000,2022-04-01,06,053,CA,Monterey County,221051,207194,13857,6.3
CN0605500000000,2022-04-01,06,055,CA,Napa County,70309,68227,2082,3
CN0605700000000,2022-04-01,06,057,CA,Nevada County,47516,45968,1548,3.3
CN0605900000000,2022-04-01,06,059,CA,Orange County,1575310,1529447,45863,2.9
CN0606100000000,2022-04-01,06,061,CA,Placer County,191938,186600,5338,2.8
CN0606300000000,2022-04-01,06,063,CA,Plumas County,7192,6703,489,6.8
CN0606500000000,2022-04-01,06,065,CA,Riverside County,1140903,1098473,42430,3.7
CN0606700000000,2022-04-01,06,067,CA,Sacramento County,721213,695326,25887,3.6
CN0606900000000,2022-04-01,06,069,CA,San Benito County,32085,30456,1629,5.1
CN0607100000000,2022-04-01,06,071,CA,San Bernardino County,999914,962670,37244,3.7
CN0607300000000,2022-04-01,06,073,CA,San Diego County,1573804,1524112,49692,3.2
CN0607500000000,2022-04-01,06,075,CA,San Francisco County/city,564833,551536,13297,2.4
CN0607700000000,2022-04-01,06,077,CA,San Joaquin County,340274,323345,16929,5
CN0607900000000,2022-04-01,06,079,CA,San Luis Obispo County,137029,133279,3750,2.7
CN0608100000000,2022-04-01,06,081,CA,San Mateo County,447158,437145,10013,2.2
CN0608300000000,2022-04-01,06,083,CA,Santa Barbara County,224599,217460,7139,3.2
CN0608500000000,2022-04-01,06,085,CA,Santa Clara County,1023985,998818,25167,2.5
CN0608700000000,2022-04-01,06,087,CA,Santa Cruz County,132925,126154,6771,5.1
CN0608900000000,2022-04-01,06,089,CA,Shasta County,72053,68901,3152,4.4
CN0609100000000,2022-04-01,06,091,CA,Sierra County,1263,1204,59,4.7
CN0609300000000,2022-04-01,06,093,CA,Siskiyou County,16215,15294,921,5.7
CN0609500000000,2022-04-01,06,095,CA,Solano County,200053,192109,7944,4
CN0609700000000,2022-04-01,06,097,CA,Sonoma County,245769,238632,7137,2.9
CN0609900000000,2022-04-01,06,099,CA,Stanislaus County,238932,226246,12686,5.3
CN0610100000000,2022-04-01,06,101,CA,Sutter County,45903,42796,3107,6.8
CN0610300000000,2022-04-01,06,103,CA,Tehama County,25292,24141,1151,4.6
CN0610500000000,2022-04-01,06,105,CA,Trinity County,4454,4262,192,4.3
CN0610700000000,2022-04-01,06,107,CA,Tulare County,208117,192082,16035,7.7
CN0610900000000,2022-04-01,06,109,CA,Tuolumne County,19628,18801,827,4.2
CN0611100000000,2022-04-01,06,111,CA,Ventura County,412061,398623,13438,3.3
CN0611300000000,2022-04-01,06,113,CA,Yolo County,108264,104155,4109,3.8
CN0611500000000,2022-04-01,06,115,CA,Yuba County,31139,29531,1608,5.2
CN0800100000000,2022-04-01,08,001,CO,Adams County,280890,271670,9220,3.3
CN0800300000000,2022-04-01,08,003,CO,Alamosa County,8040,7755,285,3.5
CN0800500000000,2022-04-01,08,005,CO,Arapahoe County,374386,363070,11316,3
CN0800700000000,2022-04-01,08,007,CO,Archuleta County,6721,6502,219,3.3
CN0800900000000,2022-04-01,08,009,CO,Baca County,1952,1917,35,1.8
CN0801100000000,2022-04-01,08,011,CO,Bent County,1658,1594,64,3.9
CN0801300000000,2022-04-01,08,013,CO,Boulder County,201103,196232,4871,2.4
CN0801400000000,2022-04-01,08,014,CO,Broomfield County/city,42353,41303,1050,2.5
CN0801500000000,2022-04-01,08,015,CO,Chaffee County,9533,9284,249,2.6
CN0801700000000,2022-04-01,08,017,CO,Cheyenne County,984,965,19,1.9
CN0801900000000,2022-04-01,08,019,CO,Clear Creek County,6135,5961,174,2.8
CN0802100000000,2022-04-01,08,021,CO,Conejos County,3850,3727,123,3.2
CN0802300000000,2022-04-01,08,023,CO,Costilla County,1693,1621,72,4.3
CN0802500000000,2022-04-01,08,025,CO,Crowley County,1349,1296,53,3.9
CN0802700000000,2022-04-01,08,027,CO,Custer County,2200,2135,65,3
CN0802900000000,2022-04-01,08,029,CO,Delta County,12974,12516,458,3.5
CN0803100000000,2022-04-01,08,031,CO,Denver County/city,435127,422032,13095,3
CN0803300000000,2022-04-01,08,033,CO,Dolores County,1105,1070,35,3.2
CN0803500000000,2022-04-01,08,035,CO,Douglas County,207067,202112,4955,2.4
CN0803700000000,2022-04-01,08,037,CO,Eagle County,35326,34432,894,2.5
CN0803900000000,2022-04-01,08,039,CO,Elbert County,15804,15428,376,2.4
CN0804100000000,2022-04-01,08,041,CO,El Paso County,356973,345834,11139,3.1
CN0804300000000,2022-04-01,08,043,CO,Fremont County,14263,13609,654,4.6
CN0804500000000,2022-04-01,08,045,CO,Garfield County,30247,29359,888,2.9
CN0804700000000,2022-04-01,08,047,CO,Gilpin County,3927,3815,112,2.9
CN0804900000000,2022-04-01,08,049,CO,Grand County,9020,8775,245,2.7
CN0805100000000,2022-04-01,08,051,CO,Gunnison County,11179,10886,293,2.6
CN0805300000000,2022-04-01,08,053,CO,Hinsdale County,390,380,10,2.6
CN0805500000000,2022-04-01,08,055,CO,Huerfano County,2358,2220,138,5.9
CN0805700000000,2022-04-01,08,057,CO,Jackson County,888,870,18,2
CN0805900000000,2022-04-01,08,059,CO,Jefferson County,342005,332781,9224,2.7
CN0806100000000,2022-04-01,08,061,CO,Kiowa County,829,815,14,1.7
CN0806300000000,2022-04-01,08,063,CO,Kit Carson County,3857,3780,77,2
CN0806500000000,2022-04-01,08,065,CO,Lake County,4903,4777,126,2.6
CN0806700000000,2022-04-01,08,067,CO,La Plata County,30423,29536,887,2.9
CN0806900000000,2022-04-01,08,069,CO,Larimer County,209149,203587,5562,2.7
CN0807100000000,2022-04-01,08,071,CO,Las Animas County,6049,5787,262,4.3
CN0807300000000,2022-04-01,08,073,CO,Lincoln County,2133,2078,55,2.6
CN0807500000000,2022-04-01,08,075,CO,Logan County,10009,9739,270,2.7
CN0807700000000,2022-04-01,08,077,CO,Mesa County,76710,74241,2469,3.2
CN0807900000000,2022-04-01,08,079,CO,Mineral County,417,406,11,2.6
CN0808100000000,2022-04-01,08,081,CO,Moffat County,6684,6464,220,3.3
CN0808300000000,2022-04-01,08,083,CO,Montezuma County,12099,11652,447,3.7
CN0808500000000,2022-04-01,08,085,CO,Montrose County,20821,20079,742,3.6
CN0808700000000,2022-04-01,08,087,CO,Morgan County,14995,14486,509,3.4
CN0808900000000,2022-04-01,08,089,CO,Otero County,7625,7318,307,4
CN0809100000000,2022-04-01,08,091,CO,Ouray County,2355,2272,83,3.5
CN0809300000000,2022-04-01,08,093,CO,Park County,11558,11265,293,2.5
CN0809500000000,2022-04-01,08,095,CO,Phillips County,2213,2167,46,2.1
CN0809700000000,2022-04-01,08,097,CO,Pitkin County,10395,10062,333,3.2
CN0809900000000,2022-04-01,08,099,CO,Prowers County,5890,5720,170,2.9
CN0810100000000,2022-04-01,08,101,CO,Pueblo County,76271,72967,3304,4.3
CN0810300000000,2022-04-01,08,103,CO,Rio Blanco County,2750,2645,105,3.8
